Warehouse Location,Customer,Ship To Location,Sales Order Number,Salesperson,Customer PO Number,Commodity ID,Style ID,Size ID,Grade ID,Label ID,Region ID,Method ID,Storage ID,Color ID,Order Quantity,Sales Order Date,Ship Date
COBBLESTONE,"ALBERTSONS - LANCASTER, PA","ALBERTSONS - LANCASTER, PA",367987,JOEL YEARY,457381,NAVEL,FOX 5-8#,088,CHOICE,SIG SELECT,USA,BAGMAS MED,COBBLESTONE,CHEP,720,2024-10-25,2024-11-01
COBBLESTONE,ALDI,"JEFFERSON, GA",368157,PRESCOTT LEYBA,7502351741,NAVEL,TWB 150/4V,088,FANCY,,USA,TWB CT KRP,COBBLESTONE,CHEP,57,2024-10-28,2024-10-31
COBBLESTONE,ALDI,"ROYAL PALM BEACH, FL",368161,PRESCOTT LEYBA,7502357761,NAVEL,TWB 150/4V,088,FANCY,,USA,TWB CT KRP,COBBLESTONE,CHEP,57,2024-10-28,2024-10-31
COBBLESTONE,ALDI,"WEBBERVILLE, MI",368160,PRESCOTT LEYBA,7502357115,LEMON,VEX 12-2#,115,FANCY,,USA,5 1/4 KRAFT,COBBLESTONE,CHEP,1400,2024-10-28,2024-10-31
COBBLESTONE,ALDI CENTER VALLEY,"CENTER VALLEY, PA",367833,PRESCOTT LEYBA,386964,NAVEL,TWB 150/4V,088,FANCY,,USA,TWB CT KRP,COBBLESTONE,CHEP,58,2024-10-24,2024-10-31
COBBLESTONE,ALDI FARIBAULT,"FARIBAULT, MN",368155,PRESCOTT LEYBA,324755,LEMON,VEX 12-2#,115,FANCY,,USA,5 1/4 KRAFT,COBBLESTONE,CHEP,210,2024-10-28,2024-10-31
COBBLESTONE,ALDI FARIBAULT,"FARIBAULT, MN",368155,PRESCOTT LEYBA,324755,NAVEL,TWB 150/4V,113,FANCY,,USA,TWB CT KRP,COBBLESTONE,CHEP,49,2024-10-28,2024-10-31
COBBLESTONE,ALDI SPRINGFIELD,"SPRINGFIELD, OH",367892,PRESCOTT LEYBA,268175,LEMON,VEX 12-2#,115,FANCY,,USA,5 1/4 KRAFT,COBBLESTONE,CHEP,300,2024-10-24,2024-10-31
COBBLESTONE,ALDI SPRINGFIELD,"SPRINGFIELD, OH",367892,PRESCOTT LEYBA,268175,MANDARIN,GIRO 10-3#,036,FANCY,MANDIES,CHILE,6 1/2 KRAFT,JIREH ORANGE CO,CHEP,720,2024-10-24,2024-10-31
COBBLESTONE,"ANTLE MARKETING, INC.","BARDSTOWN, KY",368609,ALEX MARRIOTT,33675,NAVEL,CTN,056,CHOICE,,USA,SCTN C NAV KRP,COBBLESTONE,REGULAR,54,2024-10-31,2024-11-01
